condition,wer,num_signgloss,intended_meaning,asl_gloss,error_asl_gloss,error_intended_meaning,original_word,misclassified_word
5,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
5,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,"If she has time, she will bake cookies for the family.",,
5,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
5,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
5,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,My sister went away to college but she will come home for vacation.,,
5,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
5,0.333,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER PRACTICE fs-MAC ONLY ,My sister only practices using a Mac for calculations.,"COMPUTER, USE","CALCULATE, PRACTICE"
5,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
5,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
5,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
5,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,"When my mother and father argue, the dog always barks.",,
6,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,"My family is small; it consists of my mother, father, and younger sister.",,
6,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
6,0.091,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,My class recently moved in New York City because my father is there for work transfer with IBM,FAMILY,CLASS
6,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
6,0.077,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
6,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
6,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN WORK LUNCH ,"My father, named John, works during lunch.",LIBRARY,LUNCH
6,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
6,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
6,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
6,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
6,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
6,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER LISTEN SOMETIME MY SISTER INTERPRET FOR HER ,"My mother listens, and sometimes my sister interprets for her.",DEAF,LISTEN
6,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
6,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
6,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR CLASS,"If she has time, she will bake cookies for the class.",FAMILY,CLASS
6,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
6,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
6,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,My sister went away to college but she will come home for vacation.,,
6,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
6,0.167,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER USE fs-MAC ONLY ,"When doing calculations, my sister only uses a Mac.",COMPUTER,CALCULATE
6,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
6,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
6,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
6,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,"When my mother and father argue, the dog always barks.",,
7,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,"My family is small; it consists of my mother, father, and younger sister.",,
7,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
7,0.091,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY MOTHER THERE WORK TRANSFER ns-IBM ,The class recently moved to New York City because my mother is there for work with a transfer to IBM,FAMILY,CLASS
7,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
7,0.077,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
7,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
7,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN STUDY LUNCH ,My father’s name is John. He studies during lunch.,"WORK, LIBRARY","STUDY, LUNCH"
7,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
7,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
7,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
7,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
7,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
7,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER LISTEN SOMETIME MY SISTER FAMILY FOR HER ,My mother sometimes listens to my sister's family for her.,"DEAF, INTERPRET","LISTEN, FAMILY"
7,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
7,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
7,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE CAKE FOR CLASS,"If she has time, she will bake a cake for the class.","COOKIE, FAMILY","CAKE, CLASS"
7,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
7,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
7,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,My sister went away to college but she will come home for vacation.,,
7,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
7,0.167,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER PRACTICE fs-MAC ONLY ,My sister only practices using a Mac for calculations.,"COMPUTER, USE","CALCULATE, PRACTICE"
7,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
7,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
7,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
7,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,"When my mother and father argue, the dog always barks.",,
8,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG WIFE I FINISH ,"My family is small; it consists of my mother, father, and younger sister.",SISTER,WIFE
8,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
8,0.091,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,My class recently moved in New York City because my father is there for work transfer with IBM,FAMILY,CLASS
8,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
8,0.077,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
8,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
8,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN WORK LUNCH ,"My father, named John, works during lunch.",LIBRARY,LUNCH
8,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
8,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
8,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
8,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
8,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
8,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER LISTEN SOMETIME MY SISTER INTERPRET FOR HER ,"My mother listens, and sometimes my sister interprets for her.",DEAF,LISTEN
8,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
8,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
8,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR CLASS,"If she has time, she will bake cookies for the class.",FAMILY,CLASS
8,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
8,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
8,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER HURRY COLLEGE LATER VACATION COME HOME ,"My sister is hurrying to college, but later, during vacation, she will come home.",GO-AWAY,HURRY
8,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
8,0.167,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER USE fs-MAC ONLY ,"When doing calculations, my sister only uses a Mac.",COMPUTER,CALCULATE
8,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
8,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
8,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
8,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER DISCUSS DOG ALWAYS BARK ,"Whenever my mother and father discuss something, the dog always barks.",ARGUE,DISCUSS
9,0.000,9,"My family is small. It consists of my mother, father, younger sister, and me",MY FAMILY SMALL MOTHER FATHER YOUNG SISTER I FINISH ,MY FAMILY SMALL MOTHER FATHER YOUNG WIFE I BLOWN-AWAY ,"My family is small. It consists of my mother, father, and young wife. I am amazed.","SISTER, FINISH","WIFE, BLOWN-AWAY"
9,0.000,6,My family has a total of six grandchildren.,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,MY FAMILY HAVE TOTAL SIX GRANDCHILDREN ,My family has a total of six grandchildren.,,
9,0.091,11,My family recently moved to New York City because my father was transferred for work at IBM,FAMILY MOVE RECENT WHERE NYC WHY FATHER THERE WORK TRANSFER ns-IBM ,CLASS MOVE RECENT WHERE NYC WHY MOTHER THERE WORK TRANSFER ns-IBM ,The class recently moved to New York City because my mother is there for work with a transfer to IBM,"FAMILY, FATHER","CLASS, MOTHER"
9,0.000,3,We are fine with the family moving.,FAMILY MOVE WE FINE,FAMILY MOVE WE FINE,"After moving, my family is doing fine.",,
9,0.077,13,My family vacation every year is in Florida because everyone loves the sun,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,MY FAMILY VACATION TOGETHER EVERY-YEAR WHERE THERE FLORIDA WHY EACH ONE LOVE SUNSHINE ,My family goes on vacation together every year to Florida because everyone loves the sunshine.,,
9,0.000,8,"My family likes beer and wine, but I don’t.",MY FAMILY LIKE BEER AND WINE NOT ME ,MY FAMILY LIKE BEER AND WINE NOT ME ,"My family likes beer and wine, but I don’t.",,
9,0.000,6,"My father, John, works at the library.",MY FATHER NAME fs-JOHN WORK LIBRARY ,MY FATHER NAME fs-JOHN STUDY LUNCH ,My father’s name is John. He studies during lunch.,"WORK, LIBRARY","STUDY, LUNCH"
9,0.000,7,My father enjoys traveling to different countries,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,MY FATHER ENJOY TRIP TOUCH(-ARC) DIFFERENT(-ARC) COUNTRY ,My father enjoys traveling to different countries.,,
9,0.000,7,My father and I both like pineapple and cream cheese,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,FATHER SAME I LIKE PINEAPPLE CREAM CHEESE ,My father and I both like pineapple and cream cheese.,,
9,0.000,6,"A long time ago, my father was tall, but now he is short",MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,MY FATHER LONG-AGO ADULT-TALL NOW SHORT-HEIGHT ,"Long ago, my father was tall, but now he is short.",,
9,0.000,6,My sister and father was born in September ,BORN SEPT WHO MY SISTER FATHER ,BORN SEPT WHO MY SISTER FATHER ,My sister and father was born in September ,,
9,0.000,4,"My mother's name is Janet, not Jane.",MOTHER NAME fs-JANET NOT fs-JANE,MOTHER NAME fs-JANET NOT fs-JANE,"My mother's name is Janet, not Jane.",,
9,0.000,9,"My mother is Deaf, and sometimes my sister interprets for her",MY MOTHER DEAF SOMETIME MY SISTER INTERPRET FOR HER ,MY MOTHER LISTEN SOMETIME MY SISTER FAMILY FOR HER ,My mother sometimes listens to my sister's family for her.,"DEAF, INTERPRET","LISTEN, FAMILY"
9,0.000,5,My mother likes red shoes.,MY MOTHER LIKE RED SHOE ,MY MOTHER LIKE RED SHOE ,My mother likes red shoes.,,
9,0.000,10,"Our dog bit my mother's new shoe, and she was angry.",OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,OUR DOG BITE MY MOTHER HER NEW SHOE SHE ANGRY ,"Our dog bit my mother's new shoe, and she was angry.",,
9,0.000,9,"If she has time, she will bake cookies for family",IF SHE HAVE TIME SHE WILL BAKE COOKIE FOR FAMILY,IF SHE HAVE TIME SHE WILL BAKE CAKE FOR CLASS,"If she has time, she will bake a cake for the class.","COOKIE, FAMILY","CAKE, CLASS"
9,0.000,9,"My sister, Julia, is very skilled at mimicking other people.",MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,MY SISTER NAME fs-JULIA EXPERT THEIR ACTION COPY  ,"My sister, Julia, is an expert at copying people’s actions.",,
9,0.000,5,"My sister is good at dancing, but I’m terrible at it.",MY SISTER SKILL DANCE I LOUSY,MY SISTER SKILL DANCE I LOUSY,"My sister is skilled at dancing, but I’m terrible.",,
9,0.000,8,My sister went away to college but she will come home for vacation.,MY SISTER GO-AWAY COLLEGE LATER VACATION COME HOME ,MY SISTER HURRY GRADUATE LATER VACATION COME HOME ,"My sister is hurrying to graduate, and later, she will come home for vacation.","GO-AWAY, COLLEGE","HURRY, GRADUATE"
9,0.000,8,"My sister goes to cheer practice every Monday, Wednesday, and Friday.","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","MY SISTER GO CHEER PRACTICE EVERY-MONDAY, EVERY-WEDNESDAY, EVERY-FRIDAY ","My sister goes to cheer practice every Monday, Wednesday, and Friday.",,
9,0.167,6,My sister only uses a Mac computer.,COMPUTER MY SISTER USE fs-MAC ONLY ,CALCULATE MY SISTER PRACTICE fs-MAC ONLY ,My sister only practices using a Mac for calculations.,"COMPUTER, USE","CALCULATE, PRACTICE"
9,0.000,7,My sister wants a headband for her birthday.,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,MY SISTER WANT HEADBAND FOR HER BIRTHDAY ,My sister wants a headband for her birthday.,,
9,0.000,10,My family adopted a group of puppies because we love animals,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,DOG fs-PUPPIES FAMILY TAKE-UP GROUP-GO-TOGETHER WHY MY FAMILY LOVE ANIMAL ,My family adopted a group of puppies because we love animals,,
9,0.000,5,"The dog vomits, and my father cleans it up.",DOG VOMIT MY FATHER CLEAN ,DOG VOMIT MY FATHER CLEAN ,"When the dog vomited, my father cleaned it up.",,
9,0.000,8,"Whenever my mother and father argue, the dog always barks.",WHEN MY MOTHER FATHER ARGUE DOG ALWAYS BARK ,WHEN MY MOTHER FATHER DISCUSS DOG ALWAYS TALK ,"Whenever my mother and father discuss, they always talk about the dog.","ARGUE, BARK","DISCUSS, TALK"
